thema	bron	Deelmodel	attribuut	waarde	label-nl	definitie	naam waardelijst	URL
algemeen	imkl-be	wion	imkl:geoNauwkeurigheidXY	tot50cm	tot50cm	Nauwkeurigheidsgraad tot op 50 cm.	NauwkeurigheidXYvalue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot50cm
algemeen	imkl-be	wion	imkl:geoNauwkeurigheidXY	tot100cm	tot100cm	Nauwkeurigheidsgraad tot op 100 cm.	NauwkeurigheidXYvalue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot100cm
algemeen	imkl2015	wion	imkl:maatvoeringsType	maatvoeringshulplijn	maatvoeringshulplijn		MaatvoeringsTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringshulplijn
algemeen	imkl2015	wion	imkl:maatvoeringsType	maatvoeringslijn	maatvoeringslijn		MaatvoeringsTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringslijn
algemeen	imkl2015	wion	imkl:maatvoeringsType	maatvoeringspijlpunt	maatvoeringspijlpunt		MaatvoeringsTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringspijlpunt
algemeen	imkl2015	wion	imkl:maatvoeringsType	maatvoeringslabel	maatvoeringslabel		MaatvoeringsTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/MaatvoeringsTypeValue/maatvoeringslabel
algemeen	imkl2015	wion	imkl:maatvoeringsType	maatvoeringslabel	maatvoeringslabel		MaatvoeringsTypeValue	
algemeen	imkl2015	wion	imkl:thema	buisleidingGevaarlijkeInhoud	buisleiding gevaarlijke inhoud	"a. aardgasleidingen met een uitwendige diameter van meer dan 50 mm en een druk van meer dan 1600 kPa;
b. buisleidingen voor het vervoer van brandbare vloeistoffen van de categorien K1, K2 of K3, met een uitwendige diameter van meer dan 100 mm;
c. buisleidingen voor andere gevaarlijke stoffen dan bedoeld onder a en b, waarvoor het plaatsgebonden risico op een afstand van 5 m gemeten vanaf het hart van de buisleiding hoger is dan 10-6 per jaar.
Artikel 1 (lid g,h,i en j)
g. plaatsgebonden risico: risico op een plaats buiten een inrichting, een transportroute of een buisleiding, uitgedrukt als de kans per jaar dat een persoon die onafgebroken en onbeschermd op die plaats zou verblijven, overlijdt als rechtstreeks gevolg van een ongewoon voorval binnen die inrichting, op die transportroute of met die buisleiding, waarbij een gevaarlijke stof betrokken is;
h. categorie K1: een product niet zijnde een brandbaar gas met een vlampunt dat, bepaald met het toestel van Abel-Pensky, bij een druk van 100 kPa lager is dan 21C;
i. categorie K2: een product met een vlampunt dat, bepaald met het toestel van Abel-Pensky, bij een druk van 100 kPa ligt tussen de 21C en 55C;
j. categorie K3: een product met een vlampunt dat, bepaald met het toestel van Pensky-Martens, bij een druk van 100 kPa hoger is dan 55C en lager is dan 100C;"	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/buisleidingGevaarlijkeInhoud
algemeen	imkl2015	wion	imkl:thema	datatransport		"De elektronische overdracht van signaalinformatie tussen punten via kabels die deel uitmaken van een net.
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/datatransport
algemeen	imkl2015	wion	imkl:thema	gasLageDruk	gas lage druk	"Een gasleiding lagedruk (LD) heeft een drukniveau lager dan 200 mBar en bestaat uit een hoofdleiding en een aansluitleiding. LD druksoorten: 100, 30 mBar.
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.
Opmerking: In de praktijk kunnen netten tot en met 500 mBar op de LD themakaart voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/gasLageDruk
algemeen	imkl2015	wion	imkl:thema	gasHogeDruk	gas hoge druk	"Een gasleiding hogedruk (HD) heeft een drukniveau hoger dan 200  mBar en bestaat uit een hoofdleiding en een aansluitleiding. HD druksoorten: 8, 4, 1 Bar.
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.
Opmerking: In de praktijk kunnen netten vanaf 200 mBar op de HD themakaart voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/gasHogeDruk
algemeen	imkl2015	wion	imkl:thema	petrochemie	(petro)chemie	"Leiding voor transport van olie of chemicalin, niet vallend onder het thema ‘Buisleiding gevaarlijke inhoud’.
"	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/petrochemie
algemeen	imkl2015	wion	imkl:thema	landelijkHoogspanningsnet	landelijk hoogspanningsnet	"Toestand waarin het mogelijk is een elektrische stroom te creren;ZHS = zeer hoge spanning (110 kV tot en met 380 kV). "	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/landelijkHoogspanningsnet
algemeen	imkl2015	wion	imkl:thema	hoogspanning	hoogspanning	"Toestand waarin het mogelijk is een elektrische stroom te creren; HS = hoogspanning (36 tot en met 220 kV).
Opmerking: In de praktijk kunnen netten vanaf 20 kV t/m 220 kV op de HS themakaart voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/hoogspanning
algemeen	imkl2015	wion	imkl:thema	laagspanning	laagspanning	"LS kabel bestaat uit hoofdnet en aansluitnet. LS = laagspanning (230 V en 400 V)
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.
Opmerking: In de praktijk kunnen netten tot en met 1000 Volt op de LS themakaart voorkomen"	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/laagspanning
algemeen	imkl2015	wion	imkl:thema	middenspanning	middenspanning	"MS kabel bestaat uit hoofdnet en aansluitnet. MS = middenspanning (0,4 kV tot 30 kV)
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.
Opmerking: In de praktijk kunnen netten van 400 Volt op de MS themakaart voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/middenspanning
algemeen	imkl2015	wion	imkl:thema	rioolVrijverval	riool vrijverval	Riool waardoor afvalwater door de zwaartekracht wordt getransporteerd (uit NEN 3300, Buitenriolering).	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/rioolVrijverval
algemeen	imkl2015	wion	imkl:thema	rioolOnderDruk	riool onder druk	Riolering waarbij het transport plaatsvindt door overdruk (uit NEN 3300, Buitenriolering) dan wel onderdruk.	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/rioolOnderDruk
algemeen	imkl2015	wion	imkl:thema	warmte	warmte	"Een warmtenet kan bestaan uit stadswarmte, centraal tapwater en een koude net.
Een stadswarmtenet bestaat uit aanvoer- en retourleidingen.
Onderverdeeld in: 
Transport-, en/of Wijknet en Aansluitleidingen.
Leidingdiameters 40–1100 mm.
Temp. 40-120°
Druk 4-25 bar
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.

Een centraal tapwaternet bestaat uit aanvoer- en recirculatieleidingen,
Onderverdeeld in:
Wijknet en Aansluitleidingen.
Waarbij het mogelijk is dat aanvoer- en recirculatieleiding gecombineerd zijn in én mantel, of een gescheiden trac hebben.
Temp. 66°
Druk 2-4 bar
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen.

Een koudenet bestaat uit aanvoer- en retourleidingen.
Onderverdeeld in: 
Transportnet, en Aansluitleidingen.
Leidingdiameters 150–800 mm.
Temp. 5-16°
Druk 2-16 bar
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/warmte
algemeen	imkl2015	wion	imkl:thema	water	water	"Een waterleiding bestaat uit transport-, distributie- en aansluitleidingen ten behoeve van (drink)water.
NB: De aansluitleiding kan ook alleen op (huis)aansluitschetsen voorkomen."	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/water
algemeen	imkl2015	wion	imkl:thema	wees	wees	Alle onbekende leidingen welke bij een eerdere grondroering zijn geconstateerd, die ook na onderzoek niet aan een beheerder waren toe te wijzen en waarvoor de gemeente ingevolge de WION de beheerdersverplichtingen vervult.	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/wees
algemeen	imkl2015	wion	imkl:thema	overig	overig	Alle, niet bij de andere thema’s omschreven vormen van transport door middel van kabels en leidingen.	Thema	http://www.geonovum.nl/imkl2015/1.0/def/Thema/overig
algemeen	inspire	wion	utilityDeliveryType	collection	inzameling	Beschrijving van een nutsvoorzieningennet waarbij het nutsproduct wordt aangeleverd door middel van inzameling (bv. het opvangen van afvalwater van klanten in het geval van een rioleringsnet).	UtilityDeliveryTypeValue	http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/collection
algemeen	inspire	wion	utilityDeliveryType	distribution	distributie	Beschrijving van een nutsvoorzieningennet waarbij het nutsproduct wordt aangeleverd door middel van lokal distributie (bv. de lokale distributie van elektriciteit) via een rechstreekse verbinding met de klanten.	UtilityDeliveryTypeValue	http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/distribution
algemeen	inspire	wion	utilityDeliveryType	private	particulier	Beschrijving van een nutsvoorzieningennet waarbij het nutsproduct wordt aangeleverd via een klein particulier net (dat bv. eigendom is van een particulier bedrijf).	UtilityDeliveryTypeValue	http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/private
algemeen	inspire	wion	utilityDeliveryType	transport	vervoer	Beschrijving van een nutsvoorzieningennet waarbij het nutsproduct wordt aangeleverd via een groot vervoernet (bv. voor het overbrengen van olie-, gas- of chemische producten over grotere afstanden).	UtilityDeliveryTypeValue	http://inspire.ec.europa.eu/codelist/UtilityDeliveryTypeValue/transport
algemeen	inspire	wion	us-net-common:utilityNetworkType	electricity	elektriciteit	Elektriciteitsnet.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/electricity
algemeen	inspire	wion	us-net-common:utilityNetworkType	oilGasChemical	olie, gas of chemicaliën	Olie-, gas- of chemicaliënnet.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/oilGasChemical
algemeen	inspire	wion	us-net-common:utilityNetworkType	sewer	riolering	Rioleringsnet.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/sewer
algemeen	inspire	wion	us-net-common:utilityNetworkType	telecommunications	telecommunicatie	Telecommunicatienet.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/telecommunications
algemeen	inspire	wion	us-net-common:utilityNetworkType	thermal	thermisch	Thermisch net.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/thermal
algemeen	inspire	wion	us-net-common:utilityNetworkType	water	water	Watervoorzieningsnet.	UtilityNetworkTypeValue	http://inspire.ec.europa.eu/codelist/UtilityNetworkTypeValue/water
algemeen	inspire	wion	us-net-common:warningType	concretePaving	betonnen plaveisel	Een reeks betonnen stenen of tegels ter afdekking van kabels of pijpleidingen.	WarningTypeValue	http://inspire.ec.europa.eu/codelist/WarningTypeValue/concretePaving
algemeen	inspire	wion	us-net-common:warningType	net	net	Waarschuwingsnet ter bescherming van kabels en pijpleidingen.	WarningTypeValue	http://inspire.ec.europa.eu/codelist/WarningTypeValue/net
algemeen	inspire	wion	us-net-common:warningType	tape	lint	Waarschuwingslint (ook markeringslint genoemd) is een sterk kunststofband in een signaalkleur of met een fel contrasterende kleurencombinatie (zoals geel-zwart of rood-wit).	WarningTypeValue	http://inspire.ec.europa.eu/codelist/WarningTypeValue/tape
	rrgs	rrb	imkl:maatgevendScenarioDodelijk	brandbaar	brandbaar		EffectScenarionType	http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/brandbaar
	rrgs	rrb	imkl:maatgevendScenarioDodelijk	explosief	explosief		EffectScenarionType	http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/explosief
	rrgs	rrb	imkl:maatgevendScenarioDodelijk	toxisch	toxisch		EffectScenarionType	http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/toxisch
	rrgs	rrb	imkl:maatgevendScenarioDodelijk	scherfwerking	scherfwerking		EffectScenarionType	http://www.geonovum.nl/imkl2015/1.0/def/EffectScenarionType/scherfwerking
algemeen	imkl2015	wion	imkl:containerLeidingelementType	toren	toren	"Eenvoudig toren-object dat dienst kan doen als drager van nutsvoorzieningenobjecten van een of meer nutsvoorzieningnetten.
"	ContainerLeidingElementTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/toren
algemeen	imkl2015	wion	imkl:containerLeidingelementType	mast	mast	Eenvoudig mast-object dat dienst kan doen als drager van nutsvoorzieningenobjecten van een of meer nutsvoorzieningnetten	ContainerLeidingElementTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/mast
algemeen	imkl2015	wion	imkl:containerLeidingelementType	mangat	mangat	"Eenvoudig omhullingsobject dat een of meer nutsvoorzieningennetobjecten kan bevatten.
"	ContainerLeidingElementTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/mangat
algemeen	imkl2015	wion	imkl:containerLeidingelementType	kast	kast	Eenvoudig kast-object dat nutsvoorzieningenobjecten kan bevatten die tot een of meer nutsvoorzieningennetwerken behoren.	ContainerLeidingElementTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/kast
algemeen	imkl2015	wion	imkl:containerLeidingelementType	technischGebouw	technisch gebouw	Heeft iemand een definitie?	ContainerLeidingElementTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ContainerLeidingElementTypeValue/technischGebouw
algemeen	imkl2015	wion	imkl:containerLeidingelementType	overig	overig		BuisleidingenType	http://www.geonovum.nl/imkl2015/1.0/def/BuisleidingenType/overig
algemeen	imkl2015	wion	imkl:status	bestaand	bestaand	Bestaande topografie die door de netbeheerder specifiek geregistreerd is ter bepaling van de locatie van een leiding.	EigenTopografieStatusValue	
algemeen	imkl2015	wion	imkl:status	plan	plan	Topografie van nog niet gerealiseerde maar wel geplande topografie-objecten.	EigenTopografieStatusValue	
elektriciteit	imkl-be	wion	us-net-common:appurtenanceType	aarding	aarding	aarding	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/aarding
elektriciteit	imkl-be	wion	us-net-common:appurtenanceType	mof	mof	mof	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/mof
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	hoogteligging	hoogteligging	hoogteligging	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/hoogteligging
elektriciteit	imkl-nl?	wion	us-net-common:appurtenanceType	adrespunt	adrespunt	Adrespunt	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/adrespunt
elektriciteit	inspire	wion	us-net-common:appurtenanceType	connectionBox	aansluitkast	Aansluitkast.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/connectionBox
elektriciteit	inspire	wion	us-net-common:appurtenanceType	deliveryPoint	punt van levering	Punt van levering.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/deliveryPoint
elektriciteit	inspire	wion	us-net-common:appurtenanceType	generator	generator	Generator.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/generator
elektriciteit	inspire	wion	us-net-common:appurtenanceType	mainStation	centrale	Centrale.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/mainStation
elektriciteit	inspire	wion	us-net-common:appurtenanceType	netStation	netstation	Netstation.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/netStation
elektriciteit	inspire	wion	us-net-common:appurtenanceType	streetLight	straatlantaren	Straatlantaren.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/streetLight
elektriciteit	inspire	wion	us-net-common:appurtenanceType	subStation	onderstation	Onderstation.	ElectricityAppurtenanceTypeValue	http://inspire.ec.europa.eu/codelist/ElectricityAppurtenanceTypeValue/subStation
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	geulmof	geulmof	geulmof	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/geulmof
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	kbMeetpunt	kb meetpunt	"meetpunt, meetpaal, meetelectrode, punt van meting op KB
"	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbMeetpunt
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	kbInstallatie	kb installatie	anode, anodebed, galvanisch anode, gelijkrichter, bron of richter van KB	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbInstallatie
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	kbEindpunt	kb eindpunt	isolatiestuk, eindpunt, algemeen niet verbindende KB node	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbEindpunt
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	kbContact	kb contact	als algemeen verbindende KB node	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbContact
elektriciteit	imkl2015	wion	us-net-common:appurtenanceType	hoogbouwkoppelpunt	hoogbouwkoppelpunt	hoogbouwkoppelpunt	ElectricityAppurtenanceTypeIMKLValue	http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/hoogbouwkoppelpunt
telecom	imkl2015	wion	us-net-common:appurtenanceType	antenna	antenna	antenna	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/antenna
telecom	imkl2015	wion	us-net-common:appurtenanceType	termination	termination	termination	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/termination
telecom	imkl2015	wion	us-net-common:appurtenanceType	handhole	handhole	handhole	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/handhole
telecom	imkl2015	wion	us-net-common:appurtenanceType	mof	mof	mof	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/mof
telecom	imkl2015	wion	us-net-common:appurtenanceType	nietBenoemd	niet benoemd	verzamelterm ondergrondse leidingelementen	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/nietBenoemd
telecom	imkl2015	wion	us-net-common:appurtenanceType	kabelverdeler	kabelverdeler	kabelverdeler	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/kabelverdeler
telecom	imkl2015	wion	us-net-common:appurtenanceType	Stijgleiding	Stijgleiding	Stijgleiding	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/Stijgleiding
telecom	imkl2015	wion	us-net-common:appurtenanceType	GTWP	GTWP	geultraject wijzigingspunt	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/GTWP
telecom	imkl2015	wion	us-net-common:appurtenanceType	afdekplaten	afdekplaten	afdekplaten	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/afdekplaten
telecom	imkl2015	wion	us-net-common:appurtenanceType	doorvoerramen	doorvoerramen	doorvoerramen	TelecommunicationsAppurtenanceIMKLTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/doorvoerramen
